cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id,,,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/22/20,10/19/20,SurveyMonkey,579,lv,0.364433,0.364433,32,30.77171,30.89377,T,71467,133905,,30.89377,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/21/20,10/18/20,SurveyMonkey,558,lv,0.0125018,0.012424,33,31.75898,31.8983,T,71382,133721,,31.8983,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/20/20,10/17/20,SurveyMonkey,553,lv,0.0123522,0.0121984,33,31.75898,31.91537,T,71300,133560,,31.91537,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/19/20,10/16/20,SurveyMonkey,531,lv,0.0118281,0.0116071,33,31.75898,31.93395,T,71242,133443,,31.93395,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/18/20,10/15/20,SurveyMonkey,499,lv,0.0110876,0.0108114,34,32.74699,32.94492,T,71181,133316,,32.94492,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/16/20,10/14/20,SurveyMonkey,450,lv,0.0192647,0.018665,36,34.72517,34.95404,T,71107,133166,,34.95404,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/16/20,10/13/20,SurveyMonkey,416,lv,0,0,36,34.72517,34.97863,T,71013,132959,,34.97863,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/15/20,10/12/20,SurveyMonkey,409,lv,0.0090346,0.0086409,35,33.73572,34.01136,T,70975,132805,,34.01136,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,6/8/20,6/30/20,SurveyMonkey,98,lv,0.1146865,0.0197095,22.22,21.15652,22.04298,,70447,131301,,22.04298,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,7/1/20,7/31/20,SurveyMonkey,246,lv,0.1928728,0.0655719,27.69,26.52513,27.42516,,70397,131199,,27.42516,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,8/1/20,8/31/20,SurveyMonkey,211,lv,0.1283472,0.0764009,25.07,23.95068,24.74387,,70347,131097,,24.74387,
2020,Wyoming,10/21/20,Joseph R. Biden Jr.,9/1/20,9/30/20,SurveyMonkey,236,lv,0.0666231,0.0579115,33.86,32.60862,33.20901,T,70295,130990,,33.20901,
